mu,n,K,seed,protocol,last,average,floor
0.35,2048,1,0,with_replacement,0.03836481926930285,0.0579907018048036,0.021373447279393193
0.35,2048,2,0,with_replacement,0.03148369842326778,0.04223757222710327,0.021373447279393193
0.35,2048,4,0,with_replacement,0.02667108727609047,0.03283817210184617,0.021373447279393193
0.35,2048,8,0,with_replacement,0.0249605807054108,0.027715821847227963,0.021373447279393193
0.35,2048,16,0,with_replacement,0.024353332339782676,0.025402398038720176,0.021373447279393193
0.35,2048,32,0,with_replacement,0.024165918467069423,0.024529875173857286,0.021373447279393193
0.35,2048,64,0,with_replacement,0.02420931101169522,0.024262178038895847,0.021373447279393193
0.35,2048,128,0,with_replacement,0.024153136298736097,0.024184977284980372,0.021373447279393193
0.35,2048,256,0,with_replacement,0.024153119138203075,0.024163176861144896,0.021373447279393193
0.35,2048,1,0,reshuffle,0.03669577730219097,0.05345491960200084,0.021373447279393193
0.35,2048,2,0,reshuffle,0.03475342731912672,0.039650775139397874,0.021373447279393193
0.35,2048,4,0,reshuffle,0.026096956198464777,0.03134342887758506,0.021373447279393193
0.35,2048,8,0,reshuffle,0.04042999512587688,0.027138775330779782,0.021373447279393193
0.35,2048,16,0,reshuffle,0.024228572807541118,0.02523081996467143,0.021373447279393193
0.35,2048,32,0,reshuffle,0.024159265726080955,0.02448590451278024,0.021373447279393193
0.35,2048,64,0,reshuffle,0.02415344002994366,0.024247433447192674,0.021373447279393193
0.35,2048,128,0,reshuffle,0.024153143627498555,0.024180105929070862,0.021373447279393193
0.35,2048,256,0,reshuffle,0.024153134165507885,0.02416139319755123,0.021373447279393193
0.35,2048,1,0,cyclic,0.05453720091169039,0.0575955374935137,0.021373447279393193
0.35,2048,2,0,cyclic,0.04406689805676445,0.04095608594651539,0.021373447279393193
0.35,2048,4,0,cyclic,0.03626380986728163,0.03189581465813778,0.021373447279393193
0.35,2048,8,0,cyclic,0.030266362278649175,0.027360686623435593,0.021373447279393193
0.35,2048,16,0,cyclic,0.026110947543555266,0.02531313064544569,0.021373447279393193
0.35,2048,32,0,cyclic,0.02438670527647387,0.024515843420686106,0.021373447279393193
0.35,2048,64,0,cyclic,0.02415871066151211,0.024256262692132186,0.021373447279393193
0.35,2048,128,0,cyclic,0.02415318324242371,0.024182327434407992,0.021373447279393193
0.35,2048,256,0,cyclic,0.024153119487722155,0.024161932722474008,0.021373447279393193
0.35,2048,1,1,with_replacement,0.03892516069192892,0.06478498496594748,0.021373447279393193
0.35,2048,2,1,with_replacement,0.028707069692192777,0.04354352234284948,0.021373447279393193
0.35,2048,4,1,with_replacement,0.024262294251886005,0.03147609823149956,0.021373447279393193
0.35,2048,8,1,with_replacement,0.02310207427981605,0.026082589852923263,0.021373447279393193
0.35,2048,16,1,with_replacement,0.02244407671779949,0.02365539863412823,0.021373447279393193
0.35,2048,32,1,with_replacement,0.02211903214361296,0.02260988049795848,0.021373447279393193
0.35,2048,64,1,with_replacement,0.022069128064903326,0.022221320431958205,0.021373447279393193
0.35,2048,128,1,with_replacement,0.02206301458354527,0.022104324330957607,0.021373447279393193
0.35,2048,256,1,with_replacement,0.02206296726219354,0.02207339968555181,0.021373447279393193
0.35,2048,1,1,reshuffle,0.03967250114215683,0.055850987133695754,0.021373447279393193
0.35,2048,2,1,reshuffle,0.029842374346038706,0.040730063332333255,0.021373447279393193
0.35,2048,4,1,reshuffle,0.02491632984420945,0.031216608170656256,0.021373447279393193
0.35,2048,8,1,reshuffle,0.04384337345655214,0.026006002480092657,0.021373447279393193
0.35,2048,16,1,reshuffle,0.022220411836491014,0.023546262094978742,0.021373447279393193
0.35,2048,32,1,reshuffle,0.02209164008383535,0.022552938266104744,0.021373447279393193
0.35,2048,64,1,reshuffle,0.022065051822937203,0.022205696513815085,0.021373447279393193
0.35,2048,128,1,reshuffle,0.02206300350370585,0.022100527538883818,0.021373447279393193
0.35,2048,256,1,reshuffle,0.022062966906185043,0.022072388709862497,0.021373447279393193
0.35,2048,1,1,cyclic,0.03626850053434705,0.05430740721506266,0.021373447279393193
0.35,2048,2,1,cyclic,0.02867886314099052,0.04051995296864606,0.021373447279393193
0.35,2048,4,1,cyclic,0.024548912480105455,0.03129445104540521,0.021373447279393193
0.35,2048,8,1,cyclic,0.022857793166885992,0.026029147726049324,0.021373447279393193
0.35,2048,16,1,cyclic,0.022266825369113445,0.023549709148835384,0.021373447279393193
0.35,2048,32,1,cyclic,0.022090006499530572,0.022552445359161746,0.021373447279393193
0.35,2048,64,1,cyclic,0.022064568794629768,0.022203583736394052,0.021373447279393193
0.35,2048,128,1,cyclic,0.02206299202077072,0.022099698160636536,0.021373447279393193
0.35,2048,256,1,cyclic,0.02206296687363964,0.022072179058711904,0.021373447279393193
0.35,2048,1,2,with_replacement,0.04116953375481736,0.05835721732814834,0.021373447279393193
0.35,2048,2,2,with_replacement,0.03138893480337925,0.04142447687169537,0.021373447279393193
0.35,2048,4,2,with_replacement,0.02807442737402005,0.03313782922938349,0.021373447279393193
0.35,2048,8,2,with_replacement,0.04709976851506763,0.028666975590486567,0.021373447279393193
0.35,2048,16,2,with_replacement,0.024582924524443717,0.026164268710838365,0.021373447279393193
0.35,2048,32,2,with_replacement,0.024428423498348402,0.025002211959699903,0.021373447279393193
0.35,2048,64,2,with_replacement,0.024415376943412195,0.024591444325968572,0.021373447279393193
0.35,2048,128,2,with_replacement,0.024415162934309932,0.024468522030427025,0.021373447279393193
